Supplier,Email,Material,Order_Qty,Price_USD,Price_DZD,Currency_Base,Market_Ref_USD,Stock_Status,Phone,Website
Sarl Metal-Al,contact@metalal-dz.com,Aluminum,200,609.79,82016.75,USD,2.4,In Stock,+213 23 47 52 81,https://metalal-dz.com
AZ PLAST PVC,info@azplast.dz,PVC-U,100,153.36,20626.92,USD,1.2,In Stock,+213 23 47 52 81,https://azplast.dz
Sarl Fonderie de l'Est,contact@fonderie-est.dz,Cast Iron,50,25.27,3398.82,USD,0.45,In Stock,+213 23 47 52 81,https://fonderie-est.dz
Acinox Algérie,sales@acinox-dz.com,316 S/S,200,1603.89,215723.21,USD,6.2,In Stock,+213 23 47 52 81,https://acinox-dz.com
Tosyalı Algeria,info@tosyali.com.dz,Carbon Steel,50,51.9,6980.55,USD,0.85,In Stock,+213 23 47 52 81,https://tosyali-algeria.com
Titanium Industries,global.sales@titanium.com,Titanium,200,3717.82,500046.79,USD,15.4,In Stock,+213 23 47 52 81,https://titanium.com
Special Metals Corp,orders@specialmetals.com,Inconel,100,2624.44,352987.18,USD,22.1,In Stock,+213 23 47 52 81,https://specialmetals.com
Nexans Algérie,contact@nexans.dz,Copper,50,571.38,76850.61,USD,9.1,In Stock,+213 23 47 52 81,https://nexans.dz
Sarl Metal-Al,contact@metalal-dz.com,Aluminum,200,614.0,82583.0,USD,2.4,Lead Time: 1 Week,+213 23 47 52 81,https://metalal-dz.com
AZ PLAST PVC,info@azplast.dz,PVC-U,10,14.31,1924.7,USD,1.2,Lead Time: 1 Week,+213 23 47 52 81,https://azplast.dz
Sarl Fonderie de l'Est,contact@fonderie-est.dz,Cast Iron,100,51.83,6971.14,USD,0.45,Lead Time: 1 Week,+213 23 47 52 81,https://fonderie-est.dz
Acinox Algérie,sales@acinox-dz.com,316 S/S,500,3567.58,479839.51,USD,6.2,Lead Time: 1 Week,+213 23 47 52 81,https://acinox-dz.com
Tosyalı Algeria,info@tosyali.com.dz,Carbon Steel,50,47.86,6437.17,USD,0.85,Lead Time: 1 Week,+213 23 47 52 81,https://tosyali-algeria.com
Titanium Industries,global.sales@titanium.com,Titanium,500,8703.0,1170553.5,USD,15.4,Lead Time: 1 Week,+213 23 47 52 81,https://titanium.com
Special Metals Corp,orders@specialmetals.com,Inconel,100,2436.02,327644.69,USD,22.1,Lead Time: 1 Week,+213 23 47 52 81,https://specialmetals.com
Nexans Algérie,contact@nexans.dz,Copper,50,543.11,73048.29,USD,9.1,In Stock,+213 23 47 52 81,https://nexans.dz
Sarl Metal-Al,contact@metalal-dz.com,Aluminum,200,612.68,82405.46,USD,2.4,Lead Time: 1 Week,+213 23 47 52 81,https://metalal-dz.com
AZ PLAST PVC,info@azplast.dz,PVC-U,200,278.54,37463.63,USD,1.2,Lead Time: 1 Week,+213 23 47 52 81,https://azplast.dz
Sarl Fonderie de l'Est,contact@fonderie-est.dz,Cast Iron,10,5.13,689.99,USD,0.45,In Stock,+213 23 47 52 81,https://fonderie-est.dz
Acinox Algérie,sales@acinox-dz.com,316 S/S,200,1398.36,188079.42,USD,6.2,In Stock,+213 23 47 52 81,https://acinox-dz.com
Tosyalı Algeria,info@tosyali.com.dz,Carbon Steel,50,46.77,6290.57,USD,0.85,In Stock,+213 23 47 52 81,https://tosyali-algeria.com
Titanium Industries,global.sales@titanium.com,Titanium,100,1783.43,239871.34,USD,15.4,In Stock,+213 23 47 52 81,https://titanium.com
Special Metals Corp,orders@specialmetals.com,Inconel,50,1229.12,165316.64,USD,22.1,In Stock,+213 23 47 52 81,https://specialmetals.com
Nexans Algérie,contact@nexans.dz,Copper,10,108.51,14594.6,USD,9.1,In Stock,+213 23 47 52 81,https://nexans.dz
Sarl Metal-Al,contact@metalal-dz.com,Aluminum,200,532.85,71668.32,USD,2.4,In Stock,+213 23 47 52 81,https://metalal-dz.com
AZ PLAST PVC,info@azplast.dz,PVC-U,50,68.32,9189.04,USD,1.2,Lead Time: 1 Week,+213 23 47 52 81,https://azplast.dz
Sarl Fonderie de l'Est,contact@fonderie-est.dz,Cast Iron,500,247.6,33302.2,USD,0.45,Lead Time: 1 Week,+213 23 47 52 81,https://fonderie-est.dz
Acinox Algérie,sales@acinox-dz.com,316 S/S,100,767.76,103263.72,USD,6.2,In Stock,+213 23 47 52 81,https://acinox-dz.com
Tosyalı Algeria,info@tosyali.com.dz,Carbon Steel,100,107.08,14402.26,USD,0.85,In Stock,+213 23 47 52 81,https://tosyali-algeria.com
Titanium Industries,global.sales@titanium.com,Titanium,10,184.78,24852.91,USD,15.4,In Stock,+213 23 47 52 81,https://titanium.com
Special Metals Corp,orders@specialmetals.com,Inconel,100,2629.26,353635.47,USD,22.1,In Stock,+213 23 47 52 81,https://specialmetals.com
Nexans Algérie,contact@nexans.dz,Copper,50,547.36,73619.92,USD,9.1,In Stock,+213 23 47 52 81,https://nexans.dz
Sarl Metal-Al,contact@metalal-dz.com,Aluminum,200,534.27,71859.32,USD,2.4,Lead Time: 1 Week,+213 23 47 52 81,https://metalal-dz.com
AZ PLAST PVC,info@azplast.dz,PVC-U,50,74.45,10013.52,USD,1.2,In Stock,+213 23 47 52 81,https://azplast.dz
Sarl Fonderie de l'Est,contact@fonderie-est.dz,Cast Iron,10,5.65,759.93,USD,0.45,In Stock,+213 23 47 52 81,https://fonderie-est.dz
Acinox Algérie,sales@acinox-dz.com,316 S/S,10,75.5,10154.75,USD,6.2,Lead Time: 1 Week,+213 23 47 52 81,https://acinox-dz.com
Tosyalı Algeria,info@tosyali.com.dz,Carbon Steel,100,101.09,13596.6,USD,0.85,In Stock,+213 23 47 52 81,https://tosyali-algeria.com
Titanium Industries,global.sales@titanium.com,Titanium,50,970.08,130475.76,USD,15.4,In Stock,+213 23 47 52 81,https://titanium.com
Special Metals Corp,orders@specialmetals.com,Inconel,100,2824.9,379949.05,USD,22.1,In Stock,+213 23 47 52 81,https://specialmetals.com
Nexans Algérie,contact@nexans.dz,Copper,10,107.81,14500.44,USD,9.1,Lead Time: 1 Week,+213 23 47 52 81,https://nexans.dz
Sarl Metal-Al,contact@metalal-dz.com,Aluminum,100,298.73,40179.19,USD,2.4,In Stock,+213 23 47 52 81,https://metalal-dz.com
AZ PLAST PVC,info@azplast.dz,PVC-U,100,143.73,19331.68,USD,1.2,In Stock,+213 23 47 52 81,https://azplast.dz
Sarl Fonderie de l'Est,contact@fonderie-est.dz,Cast Iron,200,115.02,15470.19,USD,0.45,In Stock,+213 23 47 52 81,https://fonderie-est.dz
Acinox Algérie,sales@acinox-dz.com,316 S/S,50,372.51,50102.6,USD,6.2,In Stock,+213 23 47 52 81,https://acinox-dz.com
Tosyalı Algeria,info@tosyali.com.dz,Carbon Steel,500,535.25,71991.12,USD,0.85,Lead Time: 1 Week,+213 23 47 52 81,https://tosyali-algeria.com
Titanium Industries,global.sales@titanium.com,Titanium,500,9319.72,1253502.34,USD,15.4,Lead Time: 1 Week,+213 23 47 52 81,https://titanium.com
Special Metals Corp,orders@specialmetals.com,Inconel,100,2684.29,361037.01,USD,22.1,Lead Time: 1 Week,+213 23 47 52 81,https://specialmetals.com
Nexans Algérie,contact@nexans.dz,Copper,100,1093.54,147081.13,USD,9.1,In Stock,+213 23 47 52 81,https://nexans.dz
Sarl Metal-Al,contact@metalal-dz.com,Aluminum,500,1391.11,187104.29,USD,2.4,In Stock,+213 23 47 52 81,https://metalal-dz.com
AZ PLAST PVC,info@azplast.dz,PVC-U,10,14.63,1967.74,USD,1.2,In Stock,+213 23 47 52 81,https://azplast.dz
Sarl Fonderie de l'Est,contact@fonderie-est.dz,Cast Iron,100,50.57,6801.66,USD,0.45,In Stock,+213 23 47 52 81,https://fonderie-est.dz
Acinox Algérie,sales@acinox-dz.com,316 S/S,100,690.64,92891.08,USD,6.2,Lead Time: 1 Week,+213 23 47 52 81,https://acinox-dz.com
Tosyalı Algeria,info@tosyali.com.dz,Carbon Steel,500,515.22,69297.09,USD,0.85,Lead Time: 1 Week,+213 23 47 52 81,https://tosyali-algeria.com
Titanium Industries,global.sales@titanium.com,Titanium,100,1797.24,241728.78,USD,15.4,In Stock,+213 23 47 52 81,https://titanium.com
Special Metals Corp,orders@specialmetals.com,Inconel,10,286.55,38540.97,USD,22.1,Lead Time: 1 Week,+213 23 47 52 81,https://specialmetals.com
Nexans Algérie,contact@nexans.dz,Copper,200,2274.8,305960.6,USD,9.1,In Stock,+213 23 47 52 81,https://nexans.dz
Sarl Metal-Al,contact@metalal-dz.com,Aluminum,50,154.17,20735.86,USD,2.4,Lead Time: 1 Week,+213 23 47 52 81,https://metalal-dz.com
AZ PLAST PVC,info@azplast.dz,PVC-U,100,144.15,19388.17,USD,1.2,In Stock,+213 23 47 52 81,https://azplast.dz
Sarl Fonderie de l'Est,contact@fonderie-est.dz,Cast Iron,50,25.29,3401.51,USD,0.45,Lead Time: 1 Week,+213 23 47 52 81,https://fonderie-est.dz
Acinox Algérie,sales@acinox-dz.com,316 S/S,200,1539.1,207008.95,USD,6.2,In Stock,+213 23 47 52 81,https://acinox-dz.com
Tosyalı Algeria,info@tosyali.com.dz,Carbon Steel,200,220.58,29668.01,USD,0.85,Lead Time: 1 Week,+213 23 47 52 81,https://tosyali-algeria.com
Titanium Industries,global.sales@titanium.com,Titanium,10,191.14,25708.33,USD,15.4,In Stock,+213 23 47 52 81,https://titanium.com
Special Metals Corp,orders@specialmetals.com,Inconel,200,5575.32,749880.54,USD,22.1,In Stock,+213 23 47 52 81,https://specialmetals.com
Nexans Algérie,contact@nexans.dz,Copper,50,562.96,75718.12,USD,9.1,Lead Time: 1 Week,+213 23 47 52 81,https://nexans.dz
Sarl Metal-Al,contact@metalal-dz.com,Aluminum,200,537.57,72303.17,USD,2.4,Lead Time: 1 Week,+213 23 47 52 81,https://metalal-dz.com
AZ PLAST PVC,info@azplast.dz,PVC-U,200,274.0,36853.0,USD,1.2,Lead Time: 1 Week,+213 23 47 52 81,https://azplast.dz
Sarl Fonderie de l'Est,contact@fonderie-est.dz,Cast Iron,100,51.16,6881.02,USD,0.45,Lead Time: 1 Week,+213 23 47 52 81,https://fonderie-est.dz
Acinox Algérie,sales@acinox-dz.com,316 S/S,50,388.38,52237.11,USD,6.2,In Stock,+213 23 47 52 81,https://acinox-dz.com
Tosyalı Algeria,info@tosyali.com.dz,Carbon Steel,100,102.05,13725.73,USD,0.85,In Stock,+213 23 47 52 81,https://tosyali-algeria.com
Titanium Industries,global.sales@titanium.com,Titanium,500,9787.75,1316452.38,USD,15.4,In Stock,+213 23 47 52 81,https://titanium.com
Special Metals Corp,orders@specialmetals.com,Inconel,200,4872.38,655335.11,USD,22.1,In Stock,+213 23 47 52 81,https://specialmetals.com
Nexans Algérie,contact@nexans.dz,Copper,200,2280.45,306720.52,USD,9.1,In Stock,+213 23 47 52 81,https://nexans.dz
Sarl Metal-Al,contact@metalal-dz.com,Aluminum,500,1411.98,189911.31,USD,2.4,Lead Time: 1 Week,+213 23 47 52 81,https://metalal-dz.com
AZ PLAST PVC,info@azplast.dz,PVC-U,50,71.36,9597.92,USD,1.2,Lead Time: 1 Week,+213 23 47 52 81,https://azplast.dz
Sarl Fonderie de l'Est,contact@fonderie-est.dz,Cast Iron,200,106.73,14355.19,USD,0.45,Lead Time: 1 Week,+213 23 47 52 81,https://fonderie-est.dz
Acinox Algérie,sales@acinox-dz.com,316 S/S,200,1608.59,216355.35,USD,6.2,Lead Time: 1 Week,+213 23 47 52 81,https://acinox-dz.com
Tosyalı Algeria,info@tosyali.com.dz,Carbon Steel,500,490.98,66036.81,USD,0.85,Lead Time: 1 Week,+213 23 47 52 81,https://tosyali-algeria.com
Titanium Industries,global.sales@titanium.com,Titanium,50,868.67,116836.11,USD,15.4,In Stock,+213 23 47 52 81,https://titanium.com
Special Metals Corp,orders@specialmetals.com,Inconel,10,252.18,33918.21,USD,22.1,In Stock,+213 23 47 52 81,https://specialmetals.com
Nexans Algérie,contact@nexans.dz,Copper,100,1011.21,136007.74,USD,9.1,Lead Time: 1 Week,+213 23 47 52 81,https://nexans.dz
Sarl Metal-Al,contact@metalal-dz.com,Aluminum,500,1362.35,183236.07,USD,2.4,Lead Time: 1 Week,+213 23 47 52 81,https://metalal-dz.com
AZ PLAST PVC,info@azplast.dz,PVC-U,50,67.96,9140.62,USD,1.2,Lead Time: 1 Week,+213 23 47 52 81,https://azplast.dz
Sarl Fonderie de l'Est,contact@fonderie-est.dz,Cast Iron,200,99.29,13354.51,USD,0.45,In Stock,+213 23 47 52 81,https://fonderie-est.dz
Acinox Algérie,sales@acinox-dz.com,316 S/S,10,68.74,9245.53,USD,6.2,In Stock,+213 23 47 52 81,https://acinox-dz.com
Tosyalı Algeria,info@tosyali.com.dz,Carbon Steel,100,103.19,13879.06,USD,0.85,In Stock,+213 23 47 52 81,https://tosyali-algeria.com
Titanium Industries,global.sales@titanium.com,Titanium,500,9620.69,1293982.81,USD,15.4,Lead Time: 1 Week,+213 23 47 52 81,https://titanium.com
Special Metals Corp,orders@specialmetals.com,Inconel,500,14241.81,1915523.44,USD,22.1,In Stock,+213 23 47 52 81,https://specialmetals.com
Nexans Algérie,contact@nexans.dz,Copper,500,5626.48,756761.56,USD,9.1,Lead Time: 1 Week,+213 23 47 52 81,https://nexans.dz
Sarl Metal-Al,contact@metalal-dz.com,Aluminum,50,154.46,20774.87,USD,2.4,In Stock,+213 23 47 52 81,https://metalal-dz.com
AZ PLAST PVC,info@azplast.dz,PVC-U,100,155.21,20875.75,USD,1.2,In Stock,+213 23 47 52 81,https://azplast.dz
Sarl Fonderie de l'Est,contact@fonderie-est.dz,Cast Iron,100,57.96,7795.62,USD,0.45,Lead Time: 1 Week,+213 23 47 52 81,https://fonderie-est.dz
Acinox Algérie,sales@acinox-dz.com,316 S/S,10,79.67,10715.61,USD,6.2,In Stock,+213 23 47 52 81,https://acinox-dz.com
Tosyalı Algeria,info@tosyali.com.dz,Carbon Steel,500,491.99,66172.65,USD,0.85,Lead Time: 1 Week,+213 23 47 52 81,https://tosyali-algeria.com
Titanium Industries,global.sales@titanium.com,Titanium,50,931.97,125349.96,USD,15.4,Lead Time: 1 Week,+213 23 47 52 81,https://titanium.com
Special Metals Corp,orders@specialmetals.com,Inconel,200,5294.44,712102.18,USD,22.1,In Stock,+213 23 47 52 81,https://specialmetals.com
Nexans Algérie,contact@nexans.dz,Copper,10,116.06,15610.07,USD,9.1,In Stock,+213 23 47 52 81,https://nexans.dz
Sarl Metal-Al,contact@metalal-dz.com,Aluminum,10,28.8,3873.6,USD,2.4,In Stock,+213 23 47 52 81,https://metalal-dz.com
